"","Text_name","State_cap_travel_time"
"239","Senador Elói de Souza_RN",815.829035926821
"240","Catarina_CE",2112.67760566011
"241","Rio das Ostras_RJ",693.919020427889
"242","Fronteira_MG",1001.03638480684
"243","Tapejara_RS",2091.9006671279
"244","Catuípe_RS",2226.89180826516
"245","Arraial do Cabo_RJ",705.522441148497
"246","Cuitegi_PB",863.253671911483
"247","Lagoão_RS",2229.20855242674
"248","Nhamundá_AM",3651.7381587288
"249","Itaperuna_RJ",611.053655825246
"250","Nova Europa_SP",413.085740285132
"251","Santa Mônica_PR",441.671038836604
"252","Novo Gama_GO",692.18629769892
"253","Piracanjuba_GO",556.67883760795
"254","São Miguel do Iguaçu_PR",528.588327751196
"255","Carapebus_RJ",685.671713145992
"256","Morada Nova de Minas_MG",1098.88942291802
"257","Regeneração_PI",2134.59985664565
"258","Sairé_PE",2014.34043784819
"259","Mansidão_BA",1577.27735601042
"260","Itutinga_MG",1213.48025044569
"261",NA,820.649475369384
"262","Alto Alegre_RR",3135.13829057666
"263","Pitanga_PR",366.206928549498
"264","Mossâmedes_GO",620.350883541209
"265","Novo Airão_AM",2985.23450336742
"266","Rio Espera_MG",1226.22222265546
"267","Tejupá_SP",531.556136433868
"268","São Francisco do Piauí_PI",2125.08501725614
"269","Muzambinho_MG",1154.78404634337
"270","Saldanha Marinho_RS",2159.73551838912
"271","Olivença_AL",1102.68268874837
"272","Lauro de Freitas_BA",1551.9014113439
"273","Guaraqueçaba_PR",190.655737045005
"274","Alto Alegre_SP",531.309293254103
"275","São Bernardo do Campo_SP",381.988099321935
"276","Ribeirão Claro_PR",187.229127732809
"277","Tunas do Paraná_PR",163.898441374368
"278","Esteio_RS",2164.63776221252
"279","Aveiro_PA",1450.57086748686
"280","Missão Velha_CE",1967.71202263069
"281","Ouro Fino_MG",1244.6746810359
"282","Tietê_SP",415.057423072216
"283","Bom Jardim_PE",2057.24404641014
"284","Matozinhos_MG",1117.5518978675
"285","Passa e Fica_RN",772.442740960607
"286","Augustinópolis_TO",1229.43575102847
"287","Itabaiana_SE",420.6867019952
"288","Virgem da Lapa_MG",1207.30483217645
"289","Coxilha_RS",2114.13407493818
"290","Pedra Preta_RN",848.72918787217
"291","São João da Canabrava_PI",2172.42895960648
"292","Pederneiras_SP",441.05992207816
"293","Brochier_RS",2166.90475211578
"294","Ilhota_SC",1796.21779052521
"295","São João do Triunfo_PR",249.491728645701
"296","São Gabriel da Cachoeira_AM",5196.60277377315
"297","Medianeira_PR",522.072029233888
"298","Vargem_SC",1891.79447666603
"299","Belém do São Francisco_PE",1887.31282938655
"300","Augusto de Lima_MG",1109.29911376885
"301","Parnamirim_PE",1929.50645151112
"302","Novo Cabrais_RS",2248.03339120577
"303","Parambu_CE",2081.96842788604
"304","Ubiratã_PR",449.725665824989
"305","Papanduva_SC",1774.57915952833
"306","Guimarães_MA",907.135130520655
"307","Jóia_RS",2236.11192325131
"308","Simonésia_MG",1306.69865988294
"309","Turvolândia_MG",1254.39249312207
"310","Nossa Senhora do Socorro_SE",416.005219706582
"311","Fagundes_PB",838.397756832352
"312","João Ramalho_SP",571.410140974894
"313","Córrego do Bom Jesus_MG",1279.23646930586
"314","Capinópolis_MG",878.837856571824
"315","Tomazina_PR",192.862463766662
"316","Orobó_PE",2054.3572846765
"317","Colorado do Oeste_RO",1588.31361435973
"318","Novo São Joaquim_MT",1462.3872244066
"319","Capanema_PA",1470.95789463571
"320","Malta_PB",809.197396839511
"321","Igaratinga_MG",1145.3192342132
"322","Uruçuí_PI",2046.6635043681
"323","Nova Guataporanga_SP",629.835368616299
"324","Teixeira Soares_PR",265.822856409783
"325","Cordislândia_MG",1245.22933623883
"326","Santa Rita_PB",882.977155155706
"327","Gurjão_PB",794.420467410882
"328","São Joaquim da Barra_SP",335.982541235399
"329","Ubá_MG",1270.48955222577
"330","Barreiras_BA",1316.56173723087
"331","Santana de Mangueira_PB",774.873394273992
"332","Porciúncula_RJ",603.30884346412
"333","São Domingos_PB",813.142333950888
"334","Brejo da Madre de Deus_PE",2037.30851180593
"335","Breu Branco_PA",1235.91932648973
"336","Inácio Martins_PR",317.555207482042
"337","Correntina_BA",1267.1066063158
"338","Campo Alegre_SC",1728.85429622523
"339","Santana do Maranhão_MA",740.362022986594
"340","Canhotinho_PE",1959.11911340306
"341","Tupirama_TO",972.377458179103
"342","Corumbiara_RO",1635.86307279435
"343","Espinosa_MG",948.383210757771
"344","Sapucaia do Sul_RS",2161.86652111972
"345","Itaperuçu_PR",186.924776771737
"346","Simão Dias_SE",411.261322372855
"347","Boa Nova_BA",1318.03214786476
"348","Divinópolis do Tocantins_TO",888.948508217441
"349","Contendas do Sincorá_BA",1349.81175969593
"350","Cerro Corá_RN",780.488107395231
"351","Miraselva_PR",321.093331397486
"352","Conselheiro Pena_MG",1320.24869797974
"353","Campo Formoso_BA",1664.31774409476
"354","Santa Cruz do Capibaribe_PE",2031.62290687959
"355","Vargem Grande do Sul_SP",309.801836183221
"356","Martinópolis_SP",592.580433377923
"357","Cláudia_MT",893.398928387926
"358","Luciara_MT",1381.61099010851
"359","Ipojuca_PE",2020.09956583501
"360","Taboleiro Grande_RN",717.106774556855
"361","Marizópolis_PB",778.616715077827
"362","Porteiras_CE",1941.36888957222
"363","Caxingó_PI",2433.18037545398
"364","Parnamirim_RN",831.073088297037
"365","Itamarati_AM",4534.43644147037
"366","Redenção_CE",2208.92979858369
"367","Goiatuba_GO",502.444263952287
"368","Acrelândia_AC",2719.60320856041
"369","Castelo do Piauí_PI",2331.41547696234
"370","Piratini_RS",2387.66733039699
"371","Mercedes_PR",530.221345507548
"372","Viana_ES",1196.0024857368
"373","Tenório_PB",835.078309751594
"374","Três Palmeiras_RS",2108.28833886638
"375","Guidoval_MG",1276.67434239303
"376","Monção_MA",758.775660264896
"377","Alpinópolis_MG",1146.68295323521
"378","Ponto Novo_BA",1624.19511829328
"379","Alto Feliz_RS",2145.08961518165
"380","Ruy Barbosa_RN",837.004513257605
"381","Uruoca_CE",2303.20464398721
"382","Buriti Alegre_GO",499.651187463146
"383","João Alfredo_PE",2044.0447747487
"384","Paraipaba_CE",2291.2300598675
"385","Iapu_MG",1264.39554709614
"386","Colíder_MT",799.417306247649
"387","Capão Alto_SC",1902.19694706862
"388","Mirassolândia_SP",455.739488128113
"389","Juvenília_MG",851.346826990683
"390","Cidreira_RS",2187.04095330126
"391","Barra do Rio Azul_RS",2068.39615689439
"392","Canoas_RS",2171.91652462217
"393","Santa Cecília do Pavão_PR",262.537874837766
"394","Barras_PI",2296.68254964616
"395","Cajuri_MG",1262.28574049192
"396","Jequiá da Praia_AL",2120.81959406769
"397","Campos do Jordão_SP",316.764966236715
"398","Itacajá_TO",1111.85287167573
"399","Glória_BA",1739.75979415895
"400","Três Forquilhas_RS",2167.73964773049
"401","São João do Jaguaribe_CE",2135.70653580653
"402","Comendador Levy Gasparian_RJ",574.297911308473
"403","Mazagão_AP",2889.21917573328
"404","Santa Lúcia_SP",385.508334161152
"405","Rio Quente_GO",546.240115944444
"406","Matias Barbosa_MG",1291.04871681385
"407","Ouro Verde do Oeste_PR",506.750136345743
"408","Barrinha_SP",357.408082091923
"409","Buritis_RO",1931.70114548151
"410","Boa Vista do Buricá_RS",2212.74630229393
"411","Tacuru_MS",356.899847209633
"412","São Vicente do Sul_RS",2331.69788162582
"413","Pedro Afonso_TO",1051.64767569654
"414","Boa Saúde_RN",808.267498691802
"415","Santa Terezinha do Tocantins_TO",1159.61702239625
"416","Caldas Brandão_PB",866.876608514799
"417","Belmiro Braga_MG",1301.90340438902
"418","Putinga_RS",2209.75319898737
"419","Pouso Alegre_MG",1245.55800313898
"420","Barra do Ribeiro_RS",2208.98663568966
"421","Taió_SC",1865.62347459542
"422","Denise_MT",1132.27774083214
"423","Santa Rita do Tocantins_TO",811.864444957942
"424","Rio Pomba_MG",1274.57649298796
"425","Francisco Sá_MG",1062.56966052591
"426","Dona Inês_PB",904.522532905844
"427","Itiúba_BA",1649.41086282816
"428","São Luís_MA",781.323041199217
"429","Itabirinha_MG",1321.94424088218
"430","Novo Hamburgo_RS",2155.48944409873
"431","Condeúba_BA",1303.21738160908
"432","Ilópolis_RS",2184.27760393841
"433","Ibiúna_SP",403.037519115859
"434","Limoeiro de Anadia_AL",1096.10470424624
"435","Rodrigues Alves_AC",3164.04697139452
"436","Espírito Santo do Pinhal_SP",317.850607323499
"437","Iracemápolis_SP",388.328546875091
"438","Pracinha_SP",585.045948555881
"439","Silves_AM",2960.29926326248
"440","Bela Vista do Maranhão_MA",729.089583840937
"441","Cacequi_RS",2356.3142134047
"442","Pavão_MG",1265.20077053405
"443","Dueré_TO",774.263636238824
"444","Novo Acordo_TO",938.878532060646
"445","Fartura do Piauí_PI",2083.80691916564
"446","Crisópolis_BA",1609.7328910029
"447","Caiabu_SP",600.500557570054
"448","Santa Rita do Passa Quatro_SP",339.105280403796
"449","Abadiânia_GO",645.439037805051
"450","Turvo_SC",1976.64068937811
"451","Iguaraçu_PR",331.879932094653
"452","Porto_PI",2363.60072202856
"453","Alto do Rodrigues_RN",822.995618860059
"454","Frutal_MG",972.840765436355
"455","São Pedro do Suaçuí_MG",1225.2598012259
"456","Mesquita_MG",1260.53881221067
"457","Ibicaraí_BA",1365.07368669252
"458","Pratinha_MG",1056.20810390322
"459","Quatá_SP",562.357998527478
"460","Pojuca_BA",1551.19899669048
"461","Bom Sucesso_PR",346.066285987292
"462","Tuparendi_RS",2233.78442849876
"463","Guaratuba_PR",221.564228280522
"464","Inhambupe_BA",1569.9699978862
"465","São José do Povo_MT",1304.46105059179
"466","Olaria_MG",1309.52806299372
"467","Dom Basílio_BA",1357.07257751001
"468","Jaguaripe_BA",1514.0669848726
"469","Presidente Jânio Quadros_BA",1321.75486070699
"470","Pedreira_SP",347.792079569671
"471","Altos_PI",2246.52401054565
"472","Óleo_SP",512.716112776197
"473","Campina Grande do Sul_PR",162.188497603283
"474","Paulicéia_SP",637.557627409733
"475","Farias Brito_CE",1988.2018390472
"476","Tapes_RS",2269.03035282604
"477","Pedra Bela_SP",342.541958832167
"478","São Miguel da Baixa Grande_PI",2200.38527097645
"479","Palmeira dos Índios_AL",1120.74905486356
"480","Ajuricaba_RS",2208.87564747884
"481","Ponte Preta_RS",2091.53088898115
"482","Araguainha_MT",1434.25415053126
"483","Águas de São Pedro_SP",NA
"484","Petrolina_PE",1815.21346228013
"485","Cabo Verde_MG",1167.72951112606
"486","São Gabriel do Oeste_MS",344.203728773041
"487","Nova Brasilândia D'Oeste_RO",1804.77268428479
"488","Guaraciaba do Norte_CE",2251.6030691232
"489","Monsenhor Paulo_MG",1235.54937844073
"490","Joviânia_GO",550.089821537042
"491","Monte Azul_MG",965.04825615764
"492","Timburi_SP",538.123130787219
"493","Itaí_SP",509.706958229
"494","Paranhos_MS",423.353551982719
"495","Gonzaga_MG",1223.06483349212
"496","Sossêgo_PB",893.242518833261
"497","Bofete_SP",444.715441862048
"498","Itu_SP",390.649920662657
"499","Ipanema_MG",1327.76974622394
"500","Alegre_ES",1281.39216393016
"501","Água Boa_MG",1259.74656757733
"502","Seringueiras_RO",1809.4079887982
"503","Itaguaçu da Bahia_BA",1608.02734203873
"504","Rio dos Cedros_SC",1791.3009786749
"505","Vila Maria_RS",2134.34349097691
"506","Matriz de Camaragibe_AL",1178.53782396864
"507","Catas Altas_MG",1197.75522798743
"508","Santo Antônio do Itambé_MG",1162.63339095691
"509","Riacho de Santo Antônio_PB",813.091859296861
"510","Dourados_MS",260.460566988954
"511","Sobrado_PB",870.952804149505
"512","Urucará_AM",3224.81255259081
"513","Cocal dos Alves_PI",2431.77794501087
"514","Milagres do Maranhão_MA",664.363978076104
"515","Sambaíba_MA",681.957018275886
"516","Santo Estêvão_BA",1475.37517277518
"517","Magda_SP",494.67950832403
"518","Pindobaçu_BA",1651.09798781811
"519","Amorinópolis_GO",550.143822808177
"520","Seberi_RS",2135.9499485536
"521","Jaguariúna_SP",353.363259775508
"522","São José dos Campos_SP",341.254615762019
"523","Curral Novo do Piauí_PI",2209.01103250793
"524","Lindóia_SP",322.875441078313
"525","Cafelândia_SP",472.538543770072
"526","Almeirim_PA",2316.19283829803
"527","Monte do Carmo_TO",863.140015585089
"528","Sant'Ana do Livramento_RS",2425.65271702064
"529","Santa Maria da Vitória_BA",1302.82489292397
"530","Aquidauana_MS",347.584699796958
"531","Escada_PE",2017.66584747176
"532","Itaguaí_RJ",606.47278776424
"533","Camocim_CE",2299.68912780005
"534","Porto Grande_AP",2898.81123336654
"535","Orleans_SC",1938.31437227717
"536","Pedra Branca_CE",2128.54808951549
"537","Cristal_RS",2273.40753473819
"538","Olímpio Noronha_MG",1253.03356681782
"539","Novo Alegre_TO",729.689125400333
"540","Nazaré do Piauí_PI",2100.17600437099
"541","Engenheiro Coelho_SP",355.821874189004
"542","Itá_SC",1937.43987343201
"543","Araricá_RS",2174.04864764248
"544","Cariré_CE",2275.22121131488
"545","São Marcos_RS",2100.96635204797
"546","Arceburgo_MG",1131.29942278258
"547","Rio Branco do Sul_PR",183.741646147526
"548","Cândido Sales_BA",1209.17085648852
"549","Paraná_RN",682.812413916786
"550","São João da Ponte_MG",1014.68707824009
"551","Piraquara_PR",162.91506809582
