Sigla,Codigo,Munic_pio,Domic_lios - com _gua encanada - pessoas (2000),Domic_lios - com servi_o de coleta de lixo - pessoas (2000),Domic_lios - com energia el_trica - pessoas (2000),Domic_lios - com material de constru__o dur_vel - pessoas (1991),Domic_lios - com instala__o adequada de esgoto - pessoas (1991),Domic_lios - com _gua encanada - pessoas (1991),Domic_lios - com servi_o de coleta de lixo - pessoas (1991),Domic_lios - com energia el_trica - pessoas (1991),Taxa de participa__o - mulheres (2000),Populacao Ocupada (2000),Renda per capita - 1991,Renda per capita - 2000,ndice de Desenvolvimento Humano - 1991,ndice de Desenvolvimento Humano - 2000,Popula__o (2000),Popula__o rural (2000),Popula__o urbana (2000),Taxa de fecundidade (2000),ANS 2015,ANS 2016,Interna__es - 2015,Interna__es - 2016,Produ__o Ambulatorial do SUS - 2015,Produ__o Ambulatorial do SUS - 2016
AC,1200450,Senador Guiomard,34.8,79.93,70.21,89.1,27.5,20.98,42.79,50.26,0.28,6234.00,117.32,152.53,0.61,0.70,19761.00,11121.00,8640.00,3.39,271.00,287.00,840.00,435.00,270612.00,129976.00
AC,1200500,Sena Madureira,21.83,49.48,56.79,49.5,14.2,17.32,47.14,42.27,0.36,10289.00,87.26,107.64,0.55,0.65,29420.00,13265.00,16155.00,4.53,272.00,297.00,2779.00,1404.00,1470763.00,218683.00
AC,1200609,Tarauac_,22.71,50.04,55,35.1,19.6,11.4,39.17,34.78,0.3,7655.00,69.16,91.97,0.49,0.60,26037.00,12091.00,13946.00,5.18,205.00,202.00,2140.00,839.00,375341.00,339529.00
AC,1200708,Xapuri,40.75,92.42,64.05,66.2,33.9,18.58,55.27,47.85,0.35,4125.00,97.67,122.96,0.56,0.67,11956.00,5961.00,5995.00,3.16,106.00,109.00,623.00,219.00,111227.00,46151.00
AC,1200807,Porto Acre,18.63,82.62,60.01,NA,NA,3.16,37.77,20.11,0.22,3477.00,85.10,110.63,0.56,0.66,11418.00,10125.00,1293.00,3.97,60.00,58.00,NA,NA,79371.00,35224.00
AM,1300029,Alvar_es,10.8,29.2,79.88,93.5,5.7,8.45,0.7,48.15,0.46,4117.00,104.00,91.95,0.58,0.65,12150.00,6836.00,5314.00,5.56,196.00,192.00,778.00,318.00,123026.00,58154.00
AM,1300060,Amatur_,27.19,44.5,74.39,72.8,5.3,4.98,39.58,43.29,0.29,1803.00,70.05,68.12,0.54,0.63,7308.00,3378.00,3930.00,6.23,27.00,23.00,3.00,82.00,107153.00,48271.00
AM,1300086,Anam_,38.51,73.63,59.87,83,18.8,3.63,0.72,41.32,0.27,2038.00,83.46,96.83,0.59,0.64,6563.00,4499.00,2064.00,4.70,54.00,53.00,229.00,81.00,94855.00,50490.00
AM,1300102,Anori,40.31,19.56,72.2,88.8,3.7,13.9,0.14,67.97,0.32,3682.00,84.26,91.12,0.57,0.63,11320.00,4091.00,7229.00,4.52,36.00,32.00,NA,NA,149021.00,48940.00
AM,1300144,Apu_,26.66,76.92,50.7,82.7,11.6,13.81,13.73,45.33,0.52,6112.00,137.35,130.08,0.62,0.68,13864.00,7738.00,6126.00,4.35,99.00,101.00,1225.00,595.00,262529.00,116429.00
AM,1300201,Atalaia do Norte,25.88,55.22,58.84,34,19.4,24.66,27.94,43.04,0.3,2323.00,98.09,74.95,0.51,0.56,10049.00,5874.00,4175.00,5.73,45.00,44.00,331.00,190.00,475126.00,193631.00
AM,1300300,Autazes,23.82,46.62,52.94,54.8,9.1,26.9,22.79,40.85,0.26,6564.00,103.74,87.62,0.61,0.66,24345.00,14195.00,10150.00,4.50,131.00,117.00,818.00,501.00,590446.00,835849.00
AM,1300409,Barcelos,14.82,70.59,52.99,40.6,8.2,7.19,37.63,36.92,0.3,6110.00,106.08,68.85,0.56,0.59,24197.00,16243.00,7954.00,4.95,75.00,74.00,592.00,431.00,145451.00,12777.00
AM,1300508,Barreirinha,41.91,27.62,63.01,33.4,4.8,25.67,0.16,37.19,0.4,6558.00,76.96,61.81,0.62,0.65,22579.00,13331.00,9248.00,5.43,35.00,31.00,972.00,372.00,450595.00,1123172.00
AM,1300607,Benjamin Constant,35.71,57.56,86.75,72.3,16.8,34.02,40,68.25,0.26,5523.00,114.24,76.28,0.59,0.64,23219.00,9048.00,14171.00,5.20,198.00,164.00,873.00,306.00,120157.00,46950.00
AM,1300631,Beruri,38.17,24.12,60.62,70.1,4.6,2.87,2.27,31.34,0.32,3235.00,58.44,67.95,0.49,0.58,11038.00,6079.00,4959.00,5.58,60.00,68.00,592.00,184.00,258226.00,92092.00
AM,1300680,Boa Vista do Ramos,42.26,69.17,49.84,39.5,NA,28.09,0.47,33.73,0.38,3424.00,77.63,60.54,0.60,0.64,10482.00,5465.00,5017.00,6.15,34.00,37.00,68.00,138.00,163569.00,27218.00
AM,1300706,Boca do Acre,20.61,68.39,63.23,59.3,4.7,22.88,11.21,54.94,0.38,9291.00,80.99,92.58,0.53,0.61,26959.00,12345.00,14614.00,4.73,189.00,181.00,1537.00,681.00,336334.00,109105.00
AM,1300805,Borba,23.56,50.61,57.56,56.6,20.1,31.44,7.05,52.5,0.27,6040.00,84.40,60.61,0.57,0.60,28619.00,17373.00,11246.00,4.92,127.00,119.00,1703.00,928.00,1010705.00,409706.00
AM,1300839,Caapiranga,22.04,40.14,67.76,57.7,NA,3.53,0.94,34.57,0.53,3799.00,82.10,78.02,0.54,0.62,8803.00,5688.00,3115.00,4.67,47.00,43.00,422.00,209.00,168518.00,71714.00
AM,1300904,Canutama,37.59,0.89,62.19,41.8,7.9,2.56,0.49,43.6,0.21,2175.00,63.30,63.91,0.48,0.55,10737.00,5298.00,5439.00,4.06,78.00,84.00,368.00,204.00,164080.00,93507.00
AM,1301001,Carauari,36.48,13.45,79.57,65.3,6.9,21.91,6.84,61.28,0.25,4394.00,79.96,81.40,0.50,0.58,23421.00,6545.00,16876.00,5.38,1145.00,597.00,674.00,276.00,143427.00,64219.00
AM,1301100,Careiro,14.67,77.42,36.98,73.4,42.3,14.88,21.06,18.28,0.19,6660.00,131.99,72.41,0.56,0.63,27554.00,21677.00,5877.00,3.20,120.00,108.00,252.00,70.00,587012.00,96030.00
AM,1301159,Careiro da V_rzea,11.36,10.95,30.62,90.3,NA,8.46,2.58,18.48,0.19,5582.00,95.49,84.49,0.58,0.66,17267.00,16461.00,806.00,3.32,69.00,53.00,NA,NA,122089.00,50719.00
AM,1301209,Coari,36.59,52.46,68.88,73.2,20,31.35,24.34,57.21,0.37,20545.00,75.06,81.17,0.54,0.63,67096.00,27592.00,39504.00,3.93,1008.00,825.00,4064.00,873.00,10278235.00,1957651.00
AM,1301308,Codaj_s,35.72,50.25,77.55,93.8,14.3,17.78,21.71,60.55,0.38,4877.00,134.66,70.90,0.56,0.59,17507.00,6218.00,11289.00,4.63,245.00,177.00,723.00,331.00,151943.00,38905.00
AM,1301407,Eirunep_,19.84,7.96,65.05,67.7,10.5,25.5,2.17,57.94,0.36,7142.00,53.22,69.86,0.49,0.56,26074.00,9293.00,16781.00,5.17,182.00,144.00,878.00,332.00,386727.00,182570.00
